subject,split
100206,train
100307,train
100408,train
100610,train
101006,test
101107,test
101309,train
101410,train
101915,test
102008,train
102109,train
102311,train
102513,test
102614,train
102715,train
102816,test
103010,test
103111,train
103212,test
103414,train
103515,train
103818,train
104012,train
104416,train
104820,train
105014,train
105115,train
105216,train
105620,train
105923,train
106016,train
106319,train
106521,test
106824,train
107018,train
107220,train
107321,train
107422,train
107725,train
108020,test
108121,train
108222,train
108323,train
108525,train
108828,train
109123,train
109325,train
109830,test
110007,test
110411,train
110613,train
111009,train
111211,test
111312,train
111413,train
111514,train
111716,train
112112,test
112314,test
112516,train
112819,test
112920,train
113215,train
113316,train
113417,train
113619,train
113821,test
113922,train
114116,train
114217,train
114318,train
114419,test
114621,train
114823,train
114924,test
115017,train
115219,test
115320,train
115724,train
115825,train
116120,train
116221,train
116423,test
116524,train
116726,train
117021,train
117122,test
117324,train
117728,test
117930,train
118023,train
118124,test
118225,train
118528,test
118730,train
118831,train
118932,train
119025,train
119126,train
119732,test
119833,train
120010,test
120111,train
120212,train
120414,train
120515,test
120717,test
121315,train
121416,train
121618,train
121719,test
121820,test
121921,train
122317,train
122418,train
122620,test
122822,train
123117,test
123420,train
123521,train
123723,train
123824,train
123925,train
124220,train
124422,train
124624,train
124826,train
125222,train
125424,train
125525,train
126325,test
126426,test
126628,train
126931,train
127226,train
127327,train
127630,test
127731,train
127832,train
127933,test
128026,train
128127,train
128329,train
128632,test
128935,train
129028,train
129129,train
129331,test
129432,test
129533,train
129634,train
129937,train
130013,test
130114,train
130316,train
130417,train
130518,test
130619,train
130720,train
130821,test
130922,train
131217,train
131419,train
131621,train
131722,train
131823,train
131924,train
132017,test
132118,train
133019,train
133625,train
133827,train
133928,train
134021,train
134223,test
134324,train
134425,train
134627,train
134728,train
134829,train
135124,test
135225,train
135528,train
135629,train
135730,train
135932,test
136126,train
136227,train
136631,train
136732,train
136833,train
137027,train
137128,test
137229,train
137431,train
137532,train
137633,test
137936,train
138130,train
138231,train
138332,train
138534,train
138837,train
139233,train
139435,train
139637,train
139839,train
140117,train
140319,train
140420,train
140824,train
140925,test
141119,train
141422,test
141826,train
142424,train
142828,train
143224,train
143325,train
143426,train
143527,train
143830,test
144125,train
144226,train
144428,train
144731,train
144832,test
144933,train
145127,train
145531,test
145632,train
145834,train
146129,train
146331,train
146432,train
146533,train
146634,train
146735,train
146836,train
146937,train
147030,train
147636,test
147737,test
148032,train
148133,test
148335,train
148436,test
148840,train
148941,train
149236,train
149337,train
149539,train
149741,train
149842,train
150019,train
150423,test
150524,train
150625,train
150726,train
150928,train
151021,train
151223,train
151324,train
151425,test
151526,test
151627,test
151728,train
151829,train
151930,train
152225,train
152427,train
152831,train
153025,train
153126,train
153227,train
153429,train
153631,train
153732,train
153833,train
153934,test
154229,train
154330,train
154431,train
154532,train
154734,train
154835,train
154936,train
155231,train
155635,train
155938,train
156031,train
156233,train
156334,train
156435,train
156536,train
156637,train
157336,train
157437,train
157942,train
158035,train
158136,test
158338,train
158540,train
158843,train
159138,train
159239,train
159340,train
159441,train
159744,train
159845,train
159946,train
160123,train
160729,test
160830,train
160931,train
161327,train
161630,train
161731,test
161832,train
162026,train
162228,train
162329,test
162733,test
162935,train
163129,train
163331,train
163432,train
163836,train
164030,train
164131,train
164636,test
164939,train
165032,train
165234,train
165436,train
165638,train
165840,train
165941,train
166438,train
166640,test
167036,train
167238,train
167440,train
167743,train
168038,train
168139,train
168240,train
168341,train
168745,train
168947,train
169040,train
169141,train
169343,train
169444,train
169545,test
169747,train
169949,train
170631,train
170934,train
171128,train
171330,train
171431,train
171532,train
171633,test
171734,train
172029,train
172130,train
172332,train
172433,train
172534,train
172635,test
172938,train
173132,train
173233,train
173334,test
173435,test
173536,train
173637,train
173738,train
173839,train
173940,train
